Airport_CODE,name_Airport,country_code_Airport,Airport_rwy_len_ft,Airport_rwy_wid_ft,Airport_latitude,Airport_longitude,Airport_elevation_ft,Airport_offset_hours,Airport_type
UTAK,Turkmenbashi,TM,11483,148,40.0053169,52.9928838,279,5,medium_airport
EFTU,Turku,FI,8202,197,60.4517531,22.2670522,161,3,medium_airport
EGPE,Inverness,GB,6191,151,57.4790124,-4.225739,31,1,medium_airport
TLPL,Hewanorra,LC,9003,148,13.7343239,-60.95389351,14,-4,large_airport
LRSB,Sibiu,RO,8629,148,45.7973912,24.1519202,1496,3,medium_airport
DAOO,Oran Es Senia,DZ,11811,148,35.6500999,-0.6241804,295,1,medium_airport
LEAB,Albacete,ES,8858,197,38.9950921,-1.8559154,2302,2,medium_airport
EFET,Enontekio,FI,6565,148,68.71394165,22.04420261,1005,3,medium_airport
LFBH,La Rochelle,FR,7398,148,46.1591126,-1.1520434,74,2,medium_airport
DIAP,Abidjan,CI,9843,164,5.320357,-4.016107,21,0,medium_airport
VTSG,Krabi,TH,9842,148,8.1111653,99.1097298,82,7,medium_airport
EFRO,Rovaniemi,FI,9849,197,66.5025657,25.73122,642,3,medium_airport
LOWL,Linz,AT,9843,197,48.3059078,14.286198,980,2,medium_airport
HTZA,Zanzibar,TZ,9915,148,-6.1664908,39.2074312,54,3,large_airport
GOBD,Blaise Diagne,SN,11483,197,14.6796626,-17.449177,290,0,large_airport
LTAP,Amasya Merzifon,TR,9600,148,40.8721392,35.4635383,1758,3,small_airport
UATE,Aktau,KZ,10000,150,43.6353364,51.168222,73,5,medium_airport
LTBZ,Zafer,TR,9843,148,38.3501379,38.3340454,3327,3,small_airport
UBBG,Ganja,AZ,10827,148,40.6782547,46.35732298,1083,4,medium_airport
EHBK,Maastricht,NL,9022,148,50.8512438,5.6909768,375,2,medium_airport
LFBT,Tarbes Lourdes,FR,9843,148,43.1791762,-0.00038088,1260,2,medium_airport
EGAA,Belfast Aldergrove,GB,9121,148,54.65265635,-6.22874406,268,1,large_airport
LTBR,Bursa Yenisehir,TR,9818,148,40.2626316,29.6521948,764,3,medium_airport
KRFD,Rockford Greater,US,10004,150,42.2658534,-89.1120509,742,-5,medium_airport
EKRN,Bornholm,DK,6568,148,55.1431224,14.92262966,52,2,medium_airport
EDDE,Erfurt,DE,8530,164,50.9777974,11.0287364,1036,2,medium_airport
LIPO,Brescia,IT,9810,148,45.77958045,10.42587297,355,2,medium_airport
